Deleted,Campaign ID,Campaign Type,Advertiser ID,Created At,Updated At,Disabled,Account ID,Filter Type
,135256,BANNER,42180,2021-08-25T11:07:02.755779+04:30,2021-08-25T11:07:02.7558+04:30,false,YvDHDVLq,KEYWORD
,135242,NATIVE,37398,2021-08-25T10:28:42.464838+04:30,2021-08-25T10:28:42.464863+04:30,false,yI1oI57V,KEYWORD
,135238,BANNER,21486,2021-08-25T10:26:03.757834+04:30,2021-08-25T10:26:03.757873+04:30,false,Fiyz9oAu,KEYWORD
,135227,NATIVE,30809,2021-08-25T10:06:05.550832+04:30,2021-08-26T13:33:04.44686+04:30,false,dNG6uXqH,KEYWORD
,135224,NATIVE,37398,2021-08-25T09:59:38.896178+04:30,2021-08-25T10:21:43.496538+04:30,false,yI1oI57V,KEYWORD
,135217,NATIVE,5217,2021-08-25T09:10:45.223014+04:30,2021-08-25T09:10:45.223038+04:30,false,YgCA2uL4,KEYWORD
,135200,NATIVE,42820,2021-08-25T00:05:30.865493+04:30,2021-08-25T22:06:29.661732+04:30,false,MkXFmJCr,KEYWORD
,135191,NATIVE,33473,2021-08-24T23:18:15.363909+04:30,2021-08-24T23:18:15.363929+04:30,false,4Kn50HKc,KEYWORD
,135181,BANNER,41827,2021-08-24T21:45:20.404653+04:30,2021-08-24T21:45:20.404677+04:30,false,V5M4h6kL,KEYWORD
,135178,NATIVE,30046,2021-08-24T21:17:32.523384+04:30,2021-08-24T21:17:32.52341+04:30,false,7KhEHfNv,KEYWORD
,135177,BANNER,11886,2021-08-24T21:16:37.000366+04:30,2021-08-24T21:16:37.000389+04:30,false,xuM2FAd7,KEYWORD
,135170,NATIVE,26726,2021-08-24T20:23:20.842988+04:30,2021-08-24T20:23:20.843008+04:30,false,VyVJYlVQ,KEYWORD
,135168,NATIVE,3241,2021-08-24T20:13:21.381559+04:30,2021-08-24T20:13:21.381584+04:30,false,VAGfdfnq,KEYWORD
,135166,NATIVE,33473,2021-08-24T19:37:28.671068+04:30,2021-08-24T19:37:28.671083+04:30,false,4Kn50HKc,KEYWORD
